year,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1984,0.17019098,0.16621168,0.11448663,0.052361749,0.001942852,0.02757165,0.012435265,0.002238208,0.029573279,0.045403004,0.076152757,0.081247658,0.030608514,0.079635091,0.072688356,0.03725234
1985,0.17078482,0.16614336,0.11343223,0.052312803,0.001588391,0.027409406,0.013942979,0.002123958,0.03006725,0.042456225,0.076622538,0.083316043,0.031249072,0.078971013,0.071552254,0.038027626
1986,0.16924556,0.1665742,0.11672869,0.052129239,0.001492167,0.027828708,0.013755745,0.002389516,0.030024711,0.041149493,0.075303964,0.082659647,0.030840332,0.078159198,0.071904823,0.039813973
1987,0.17108774,0.16630207,0.11594382,0.052025959,0.00148241,0.028881919,0.013200275,0.002354079,0.02964934,0.04028542,0.074999563,0.082344197,0.030743854,0.077579856,0.073198333,0.03992115
1988,0.17286895,0.17159013,0.11299817,0.050580978,0.001607815,0.028916525,0.01355731,0.002571795,0.030554285,0.038648538,0.073341489,0.083092891,0.028682442,0.077582493,0.073542938,0.039863218
1989,0.17303458,0.17168424,0.1115334,0.052767579,0.001863587,0.027965192,0.014547662,0.002896257,0.029015915,0.038169339,0.074413687,0.082821928,0.028794941,0.07730341,0.071981892,0.041206375
1990,0.17074199,0.17173681,0.11203794,0.053367283,0.002190797,0.027704695,0.016125526,0.002789237,0.029845646,0.038811978,0.072361626,0.083194733,0.029274013,0.076962531,0.071654171,0.041201033
1991,0.17123511,0.17287792,0.11196513,0.052584015,0.002095991,0.027982427,0.016093053,0.002950398,0.03010329,0.040715966,0.072613172,0.079983249,0.029679909,0.0746084,0.073756792,0.040755197
1992,0.16454788,0.17587353,0.11284068,0.056158405,0.001950832,0.02800961,0.016687021,0.002996012,0.030382784,0.040948883,0.072707631,0.081329584,0.029064283,0.072731294,0.073663324,0.040108219
1993,0.16602339,0.17224911,0.11309052,0.056923229,0.002314197,0.02806088,0.018039726,0.003521527,0.029587347,0.039053679,0.072570495,0.084327616,0.028441358,0.071529545,0.075358458,0.038908906
1994,0.16991909,0.17353861,0.11209414,0.055304628,0.0019834,0.029214416,0.018484861,0.003259834,0.028110599,0.038520101,0.0722434,0.081681401,0.028618582,0.072755538,0.073868625,0.04040277
1995,0.1780964,0.17578052,0.11084463,0.051692318,0.001852987,0.028217398,0.016585352,0.00329736,0.02847968,0.03714519,0.071035847,0.08103624,0.028695205,0.074606322,0.07257311,0.040061418
1996,0.17624368,0.17392395,0.1119479,0.051900379,0.002062212,0.027060235,0.017832434,0.00370416,0.029568002,0.036814451,0.07077229,0.080104239,0.027219858,0.07486058,0.075177819,0.040807802
1997,0.1757645,0.17528504,0.1095529,0.05227818,0.002098718,0.027921183,0.01893656,0.003599666,0.029334394,0.035528731,0.072321817,0.082110763,0.027173037,0.073663227,0.074841969,0.039589331
1998,0.17937662,0.17591891,0.10861854,0.051759727,0.002092529,0.029767616,0.019536354,0.003270521,0.028471459,0.035209242,0.071552716,0.0826746,0.027820451,0.070646219,0.073227823,0.040056653
1999,0.18084212,0.18174917,0.10954038,0.050245102,0.001934062,0.028692175,0.018343257,0.003159541,0.026986308,0.033604704,0.071241476,0.08478836,0.026571682,0.066708393,0.074041031,0.041552216
2000,0.1785036,0.1799231,0.11038886,0.048524704,0.002012958,0.028594915,0.019182701,0.003225239,0.028262239,0.033301122,0.069910347,0.088669784,0.026173007,0.067389913,0.073107213,0.042830262
2001,0.18161775,0.18128906,0.1078642,0.049194977,0.001686665,0.029374905,0.019845651,0.003495402,0.029052213,0.032422446,0.068677291,0.089015558,0.025451632,0.063688792,0.074842244,0.042481188
2002,0.18118998,0.17937195,0.11082768,0.049329229,0.002024265,0.030523293,0.020397129,0.003619647,0.028809678,0.033683028,0.068292454,0.087696053,0.023654837,0.060997915,0.075992294,0.043590583
2003,0.17200638,0.18119445,0.10840517,0.061966207,0.002105391,0.030918043,0.023245912,0.00388318,0.030245736,0.035633396,0.067407168,0.086766012,0.023059541,0.061048709,0.075786121,0.036328636
2004,0.17113212,0.18404433,0.10500658,0.060647842,0.001817984,0.031401571,0.022868289,0.003957457,0.03132765,0.036341842,0.066378891,0.089329027,0.021954872,0.059543874,0.076873668,0.03737402
2005,0.16736761,0.18216491,0.10654351,0.062098987,0.001858562,0.031336691,0.022723326,0.004260514,0.031978935,0.034289584,0.067020006,0.090340517,0.021632541,0.058226146,0.0776245,0.04053368
2006,0.17326388,0.17916602,0.10599668,0.060129259,0.001848101,0.030707568,0.023345528,0.004298258,0.031874288,0.033234075,0.067736462,0.090341315,0.021771695,0.055689484,0.076354191,0.04424322
2007,0.17325763,0.18454394,0.10395407,0.058952041,0.002101315,0.031652171,0.023733303,0.004545791,0.031177389,0.034086224,0.066433959,0.089806102,0.021016112,0.054400939,0.077037893,0.043301154
2008,0.1779892,0.18706095,0.10179623,0.059290271,0.002017143,0.03182802,0.025514636,0.004784992,0.032578912,0.034822926,0.065487549,0.083161943,0.019576149,0.053788502,0.076716006,0.043586604
2009,0.17937592,0.19061048,0.10308658,0.060536966,0.002017769,0.03371178,0.026845258,0.005251483,0.034151565,0.035597034,0.063915081,0.077425078,0.019876176,0.049917888,0.075196348,0.042484637
2010,0.17395392,0.19122271,0.099130377,0.061710794,0.002055842,0.035615347,0.027142975,0.005133281,0.033659797,0.035500687,0.066611767,0.077531114,0.021499909,0.053241011,0.07580629,0.040184185
2011,0.17517692,0.19443719,0.098415017,0.062585458,0.002149282,0.035178728,0.027977714,0.005660242,0.03357327,0.036221873,0.064220011,0.076398827,0.020796642,0.051792596,0.073961005,0.041455235
2012,0.18157004,0.19204316,0.098408692,0.060720153,0.002334318,0.033307202,0.029078448,0.005808482,0.033214897,0.036761303,0.063702151,0.071751229,0.019233294,0.055383932,0.073313832,0.043368846
2013,0.18167804,0.19240314,0.098929033,0.0603198,0.002276313,0.033057753,0.029236183,0.005901906,0.033477385,0.035852227,0.064296454,0.071633987,0.018594136,0.053275578,0.074322239,0.044745833
2014,0.18005535,0.19334009,0.09608981,0.060473416,0.002200159,0.032473229,0.028534533,0.006039613,0.033027466,0.036752932,0.062560827,0.07474941,0.018308429,0.052354045,0.075977221,0.047063503
2015,0.18220855,0.19736812,0.093645319,0.060088512,0.00214216,0.031652849,0.028335417,0.006099673,0.03165175,0.037073646,0.062584803,0.075171337,0.017501839,0.051772352,0.076256484,0.046447143
2016,0.18510965,0.19753239,0.093247846,0.058906499,0.001939647,0.030336598,0.030201856,0.006032809,0.031770829,0.038396757,0.059804026,0.075982958,0.016552502,0.051977687,0.075109251,0.047098689
2017,0.18681206,0.20009343,0.09209162,0.058515716,0.002365089,0.030418471,0.029623402,0.006067041,0.032696873,0.037215915,0.060189571,0.074113555,0.017179629,0.050378595,0.074233495,0.048005518
